category1;category2;السياق بأكمله;المتوقع
everyday_situation general_knowledge;CookingandEating;قدم الخضروات على العشاء.هذا يعكس اهتمامه بتقديم وجبة [MASK].;صحية
everyday_situation general_knowledge;CookingandEating;اشترى الخبز والخضروات لإعداد ساندويتش لتناول العشاء.ثم قام بترتيب مشترياته بعناية في [MASK].;المطبخ الثلاجة الخزانة
everyday_situation general_knowledge;CookingandEating;فور استيقاظي، أعددت فنجانًا من القهوة.هي تعد مشروبي المفضل في فترة [MASK].;الصباح
everyday_situation general_knowledge;CookingandEating;يتم تناول وجبة الإفطار في الصباح.تُعتبر هذه الوجبة مهمة لبدء [MASK].;اليوم النهار
everyday_situation general_knowledge;CookingandEating;عند تحضير وجبة عائلية، تحرص نادية دائمًا على إضافة خضروات ذات لون برتقالي وقوام مقرمش، غنية بالفيتامينات ومفيدة للعينين.في السوق، لفت انتباهها كيس من [MASK].;الجزر
general_knowledge;CookingandEating;عند إعداد طبق رئيسي يحتوي على الخضروات، يختار طارق دائمًا خضروات ذات قشرة بنية و تستعمل في كثير من الاطباق.الكل يعرف اسمها و هي [MASK].;البطاطس البطاطا
general_knowledge;CookingandEating;تتميز الخضروات ذات اللون البرتقالي بكونها غنية بالفيتامينات، وهي مثالية للوجبات الصحية.يحب الكثير من الناس تناولها كوجبة خفيفة، مثل [MASK].;الجزر
everyday_situation general_knowledge;CookingandEating;عندما تكون عائلة سامي في النزهات، يفضلون تناول فاكهة ذات قشرة رقيقة ولون أصفر زاهي، تحب القردة تناولها.في أحد الأيام، بينما كانوا يتجولون في السوق، وجدو بائع [MASK].;الموز
everyday_situation general_knowledge;CookingandEating;خلال وجبات الإفطار في رمضان، تفضل عائشة ان تتبع السنة و تتناول فاكهة بنية مع الحليب.في إحدى الأمسيات الرمضانية، بينما كانت عائشة تُحضّر مائدة الإفطار، طلب منها ابنها الصغير أن يتناول حبة [MASK].;التمر
everyday_situation general_knowledge;CookingandEating;كانت فاطمة تحس بان عينيها متعبة.ذهبت الى المطبخ و قامت بتقطيع شرائح [MASK].;الخيار
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);كانت بسمة تتردد في تناول تلك الفاكهة ذات القشرة السميكة بسبب صعوبة تقشيرها، لكنها لم تستطع مقاومة طعمها اللذيذ.كانت بسمة تستمتع كثيرًا بأكل [MASK].;الرمان
general_knowledge;TypesofFood(vegetables,meat,dairy);عندما تصنع مريم سلطة الفواكه، تفضل إضافة قطع فاكهة استوائية ذات قشرة خشنة ، ذات لون بني مائل إلى الأصفر، وتحتوي على نتوءات بارزة مثل العيون الصغيرة ونكهة حلوة من الداخل.في إحدى المرات، بينما كانت مريم تقطع هذه الفاكهة، دخل ابنها الصغير المطبخ وسألها بدهشة: ما هذه الفاكهة الغريبة؟ ، فابتسمت وأعطته قطعة منها و اخبرته هذه الفاكهة تسمى [MASK].;الأناناس
general_knowledge;TypesofFood(vegetables,meat,dairy);تأكل بيضة على الفطور كل يوم.تعتبر مصدرًا جيدًا ل [MASK].;البروتين
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);في الحديقة، يحب يوسف قطف ثمرة ذات قشرة سميكة وطعم حامض يمكن إضافته إلى السلطات أو صنع عصير منها.في أحد الأيام، بينما كان يوسف يتجول بين الأشجار، قطف [MASK].;الليمون ليمونة
general_knowledge;TypesofFood(vegetables,meat,dairy);يحب الناس تناول الفواكه في فصل الصيف.تعتبر هذه الأطعمة منعشة في [MASK].;الحر ايام
everyday_situation;TypesofFood(vegetables,meat,dairy);بعد يوم طويل من العمل، يجتمع الجميع حول الطاولة لتناول الطعام.كان احمد لا يتخلف عن وجبة [MASK].;العشاء
everyday_situation;TypesofFood(vegetables,meat,dairy);بعد يوم طويل من العمل، يصب القهوة في الكأس.عادةً ما يشربها في فترة [MASK].;المساء
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);عندما يحين وقت التحضير للعشاء، دائما ما تستعمل ندى خضرى تسيل دموعها حين تقطعها لانها تضفي طعما لذيذا للطبخ.كانت ندى تشتري الكثير من [MASK].;البصل
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);عندما شعرت سارة بالعطش، توجهت إلى المطبخ.فتحت الثلاجة وأخذت زجاجة من [MASK].;الماء
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);في عيد الأضحى، تحب فاطمة تقديم فاكهة صيفية كروية ذات قشرة رقيقة وبذور صغيرة و تكون في عرجون، هي حلوة و تحتوي على الماء.ابتسمت فاطمة وهي تضع الطبق على الطاولة و قدّمته للضيوف قائلةً: تفضلوا، هذا من أجود أنواع [MASK].;العنب
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);انه ياكل التفاحة كل يوم.هذا يساعد على تعزيز [MASK].;الصحة المناعة صحته مناعته لياقته قوته
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);عندما تقرر عائلة يوسف تناول وجبة خفيفة صحية، يحرصون على اختيار فاكهة شتوية تحتوي على نسبة عالية من فيتامين C برتقالية وتكون حامضة قليلًا.في إحدى الأمسيات الباردة، اجتمع أفراد العائلة حول المدفأة، وبدأوا بتقشير [MASK].;البرتقال
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);عندما تكون سارة في السوق، تبحث دائمًا عن خضروات تكون ذات قشرة خضراء او حمراء عادة و لها طعم لاذع.في إحدى المرات، بينما كانت تتفحص الخضروات، اقتربت منها بائعة مسنّة، وقدّمت لها بعض النصائح حول اختيار [MASK].;الفلفل الفلافل
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);وضع الرجل بعض الكعك في الميكروويف.هذا يساعد على تسخينها ب [MASK].;سرعة
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);عندما تسافر سارة إلى مناطق جبلية، تستمتع بتناول فاكهة ذات قشرة خضراء و مرات حمراء او صفراء يقال انها تبعد الطبيب.في إحدى زياراتها، توقفت عند بائعة محلية لشراء [MASK].;التفاح
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);عندما تقيم عائلة أحمد وجبة عشاء صحية، فإنهم يحبون إضافة خضروات ذات أوراق خضراء داكنة وغنية بالمعادن مثل التي يتناولها باباي.الكثير من الاطفال لا يحبون [MASK].;السبانخ
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);قاموا بتخزين الطعام في الثلاجة خلال الصيف.هذا يساعد على الحفاظ على الطعام [MASK].;طازجًا
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);في أيام الصيف الحارة، تفضل هالة تناول عصير مصنوع من خضار خضراء داكنة شكلها طويل و يحتوي على لحم شفاف أخضر فاتح، ويكون في الوسط بذور صغيرة بيضاء طرية.وفي أحد الأيام أثناء تسوقها في السوق، نظرت هالة إلى حافة السلة ووجدت [MASK].;الخيار
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);في فصل الصيف، تحب ليلى تناول فاكهة ذات قشرة خضراء ولون أحمر داخلي، وتكون مليئة بالعصير.في إحدى الأيام الحارة، بينما كانت ليلى تستمتع بنزهة مع أصدقائها في الحديقة، قام أحدهم بفتح [MASK].;البطيخ
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);في الصيف، يحب محمد تناول عصير مصنوع من فاكهة ذات قشرة خشنة ولون برتقالي مائل إلى الأصفر، تكون متوسطة الحجم ولبها من الداخل حلو الطعم بلون برتقالي زاهي.في أحد الأيام الحارة، بينما كان محمد يستمتع بوقته في الحديقة، لاحظ بائعًا يعرض [MASK].;الكنتالوب البطيخ الشمام
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);عندما تذهب رنا إلى السوق، تبحث دائمًا عن فاكهة ذات قشرة حمراء وداخلها عصير حلو، شكلها يشبه القلب، مما يجعلها خيارًا ممتازًا للتحليات.في أحد الأيام، بينما كانت تتجول بين أكشاك السوق، لفتت انتباهها سلة مليئة ب [MASK].;الفراولة
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);كان من السهل على أنجيلا أن تصبح نباتية على الرغم من أن كايلا لم تستطع فعل ذلك. اشتاقت كايلا لطعم [MASK].;الدجاج اللحم اللحوم
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);شربت ليلى مخفوق الشوكولاتة بينما شربت فاطمة عصير الجزر. كانت فاطمة تتبع نظامًا غذائيًا [MASK].;صحيًا نباتيا
general_knowledge;TypesofFood(vegetables,meat,dairy);كان الشيف يعلم أن الكثيرين لا يحبون النكهة الترابية التي أضافها لطبقه.البيتزا كانت فريدة بسبب إضافة [MASK].;الفطر الترفاس
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);كانت الوجبة مكونة من عناصر بسيطة و طبيعية.كان قد اشترى الخبز وبعض [MASK].;خضروات الخضراوات الخضار
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);تُعتبر الوجبة الأساسية لبدء اليوم.كل يوم يجتمع افراد العائلة لتناول وجبة [MASK].;الإفطار الفطور
everyday_situation general_knowledge;TypesofFood(vegetables,meat,dairy);قامت حورية بتذويب الشوكولاتة.هذا يجعلها مثالية ل [MASK].;طلي الكعك الطهي الطبخ التزيين الطلاء
general_knowledge;TypesofFood(vegetables,meat,dairy);يحب صديقي أن يأكل طعامًا غير نباتي.لا يحب فكرة قتل [MASK].;الحيوانات
general_knowledge;TypesofFood(vegetables,meat,dairy);يحب صديقي أن يأكل السلع الإلكترونية.هذا أمر غير منطقي لأن السلع الإلكترونية غير صالحة لـ [MASK].;الأكل
everyday_situation general_knowledge;TypesofClothes(shirts,pants);أرادت سعاد حفظ الطعام لفترة طويلة. وضعت الطعام في علب من [MASK].;الزجاج البلاستيك
everyday_situation general_knowledge;TypesofClothes(shirts,pants);كانت الأرض مبللة بعد المطر. ارتدت فاطمة حذاء من [MASK].;مطاطياً المطاط النايلون
everyday_situation general_knowledge;NaturalMaterials;كان حسام يبحث عن طاولة متينة لمكتبه و كان يحب الطبيعة. اختار طاولة مصنوعة من [MASK].;الخشب
everyday_situation general_knowledge;Games(boardgames,videogames);أعلنت روزالين بسعادة كش مات.كانت ستصبح جيدة حقًا في لعب [MASK]. [MASK].;الشطرنج
everyday_situation general_knowledge;Play and Recreational Activities (e.g., hide and seek, tag, playground games);رامي طفل يجيد الاختباء.لطالما كان يربح في لعبة [MASK].;الغميضة
everyday_situation general_knowledge;IndividualSports(running,swimming);شاهد المرمى على بعد مسافة قصيرة، وأدرك أن التسديد بدقة وبقوة سيدخل الكرة في الشبكة.كان يحب كثيرا كرة [MASK].;القدم
everyday_situation general_knowledge;Games(boardgames,videogames);نظرت إلى البطاقات الملونة، وعرفت أن عليه التخلص منها بسرعة.كان دائما يحمل اوراق [MASK].;أونو
everyday_situation general_knowledge;Games(boardgames,videogames);حركت الأحرف بعناية، تبحث عن كلمة ذات نقاط عالية.كان ذلك ضروريًا للفوز في [MASK].;سكرابل
everyday_situation general_knowledge;IndividualSports(running,swimming);نظر إلى الجليد، مستعداً للانزلاق بأقصى سرعة، متذكراً أن السيطرة والتوازن هما الأساس.حضر طوال الضيف لسباق [MASK].;التزلج
general_knowledge;IndividualSports(running,swimming);نفذت حركات أكروباتية بأداء سلس ودقيق، مع تجنب الأخطاء التي قد تؤدي إلى نقص النقاط.كان من الواضح أن سارة أظهرت تميزها بفضل مهاراتها في رياضة [MASK].;الجمباز
everyday_situation general_knowledge;IndividualSports(running,swimming);تسلق الجدار بعزم، معتمداً على قوة تحمله وتوازنه.كان يذهب كل اسبوع هو و اصدقاءه لممارسة رياضة [MASK].;التسلق
general_knowledge;IndividualSports(running,swimming);ركز على توجيه لكمات بقوة وبتكتيك معين في ساحة مغلقة، مع تجنب الأخطاء التي قد تؤدي إلى خسارة الجولة.كان من الواضح أن جود تميز في المباراة بفضل مهاراته في [MASK].;الملاكمة
everyday_situation general_knowledge;IndividualSports(running,swimming);صعد على الدراجة، عارفاً أن السرعة والتوازن سيكونان مفتاح النجاح حيث كان هناك الكثير من المتنافسين البارعين.كان واضحًا أن أحمد سيفوز في سباق [MASK].;الدراجات
everyday_situation general_knowledge;IndividualSports(running,swimming);كانت سلمى تتدرب على التارجح و الانتقال بين العارضتين.هي تحب كثيرا رياضة [MASK].;الجمباز
general_knowledge;IndividualSports(running,swimming);اخرج المصارع خصمه من الدائره.وبهذا الفوز تحصل على المركز الثاني في بطولة [MASK].;السومو
everyday_situation general_knowledge;IndividualSports(running,swimming);بعد العاصفة الثلجية تجمدت البحيرة.تحمس اهل القرية لممارسة رياضة [MASK].;التزلج
everyday_situation;IndividualSports(running,swimming);ركضت الفتاة في الحديقة مع صديقاتها.استمتعت بالتمارين [MASK].;البدنية الرياضية
everyday_situation general_knowledge;IndividualSports(running,swimming);فاز الشاب بالسباق في المدرسة.هذا جعله يشعر بالفخر أمام [MASK].;الأصدقاء اصدقائه
everyday_situation general_knowledge;IndividualSports(running,swimming);في صباح يوم مشمس، توجهت ليلى إلى صالة الرياضة حيث اعتادت لقاء صديقاتها لممارسة رياضة الكرة الطائرة. هذا يساعدها على التخلص من [MASK].;ضغوط العمل
everyday_situation general_knowledge;IndividualSports(running,swimming);قادت أطفالها إلى الملعب.هذا يتيح لهم فرصة ل [MASK].;اللعب اللهو الاستمتاع تفريغ
everyday_situation general_knowledge;IndividualSports(running,swimming);أنا أسبح في حوض السباحة.هذا يساعدني على [MASK].;الاسترخاء الحفاظ تقوية
general_knowledge;IndividualSports(running,swimming);ذهبت فاطمة للسباحة في الشاطئ.كانت تلك واحدة من الأنشطة الممتعة في فصل [MASK].;الصيف
general_knowledge;IndividualSports(running,swimming);قفز اللاعب عالياً وأمسك بالسلة بيديه.تألق في نهائيات بطولة كرة [MASK].;السلة
general_knowledge;IndividualSports(running,swimming);تأكدت فاطمة من أن كل ضربة توجهها بدقة لتدخل الكرة في الحفرة ، مع تجنب الأخطاء مثل الضرب في مناطق ممنوعة.كان من الواضح أن نجاح فاطمة في البطولة كان بفضل مهاراتها في رياضة [MASK].;الجولف
everyday_situation general_knowledge;IndividualSports(running,swimming);استعد للركض بأقصى سرعة، متذكراً أن السباق سيُحسم بأسرع زمن ممكن.كانت اول مشاركة له في سباق [MASK].;العدو الجري 100
everyday_situation general_knowledge;IndividualSports(running,swimming);ارتدى زيًّا خاصًا قبل أن ينزل إلى الماء البارد.كان يحب أن يبدأ يومه بالتمارين ويختمه بممارسة رياضة [MASK].;السباحة
everyday_situation general_knowledge;IndividualSports(running,swimming);أنهكته سرعة خطواته المتلاحقة في السباق.لم يكن يتوقع أن يكون سباق [MASK].;ركض الجري العدو المراثون المسافات
everyday_situation general_knowledge;IndividualSports(running,swimming);رأيتُها تتألقُ بِحركاتٍ رشيقةٍ على الحصير.كانت موهبتها واضحة في كل حركة تؤديها في [MASK].;الجمباز
everyday_situation general_knowledge;IndividualSports(running,swimming);تَعرّض محمد لكدماتٍ زرقاء حول عينيه بعد التدريب.اكتشف لاحقًا أنّه نسي ارتداء واقي الوجه أثناء ممارسة الـ [MASK].;ملاكمة
everyday_situation general_knowledge;IndividualSports(running,swimming);ارتدى ملابس رياضية بيضاء وأخذ مضربه ليبدأ لعبته الفردية.كان ملعب العشب الأخضر ينتظره ليستمتع بمباراة مثيرة من الـ [MASK].;تنس
general_knowledge;IndividualSports(running,swimming);يُمكنك مُشاهدة المباراة من المدرجات، أو المشاركة فيها بالركض خلف الكرة.هي رياضة ممتعة تجمع بين اللياقة البدنية والعمل الجماعي اسمها هو كرة [MASK].;القدم
everyday_situation general_knowledge;IndividualSports(running,swimming);أحسنتَ في إصابة الهدف من مسافة بعيدة، لكنّكَ تحتاج إلى مزيد من التدريب على الثبات.سأرشدك إلى بعض التمارين التي ستساعدك على تحسين مهاراتك في [MASK].;التسديد
everyday_situation general_knowledge;IndividualSports(running,swimming);تعرّق اللاعب بشدّة بينما يحاول إسقاط خصمه أرضًا والسيطرة عليه.كان يتدرب بجد لتحسين مهاراته في [MASK].;المصارعة
everyday_situation general_knowledge;IndividualSports(running,swimming);ارتدى خوذته وبدأ ينطلق بسرعة على الطريق، متجاوزًا منافسيه واحدًا تلو الآخر.كان يتدرب بجد لشهور ليشارك في سباق [MASK].;الدراجات
general_knowledge;IndividualSports(running,swimming);ارتفع اللاعبُ عالياً محاولاً إسقاط الكرة داخل الطوق المعلق.سقطت الكرة على الحافة قبل أن ترتد مرة أخرى إلى ملعب كرة [MASK].;السلة
general_knowledge;IndividualSports(running,swimming);قفز اللاعب عاليًا ودفع الكرة بكل قوته فوق الشبكة.حاول الفريق الآخر صدها لكنها سقطت، كانت هذه اول مباراة في بطولة الكرة [MASK].;الطائرة
general_knowledge;IndividualSports(running,swimming);أمسك الرياضي بالعصا الحادة والطويلة واندفع بها نحو خط الإطلاق.ثم أطلقها في الهواء ليسجل رقمًا جديدًا في رياضة رمي [MASK].;الرمح
everyday_situation general_knowledge;IndividualSports(running,swimming);وقف العداء عند خط البداية واستعد.اندفع بقوة للأمام وبدأ في [MASK].;القفز الجري
general_knowledge;IndividualSports(running,swimming);ارتدى اللباس الأبيض وامسك السيف بثقة.بدأ في التحرك بخفة نحو الخصم في جولة [MASK].;المبارزة
everyday_situation general_knowledge;IndividualSports(running,swimming);أخرج أحمد قوسه وسهامه من الحقيبة وهو يتهيأ للتصويب نحو الهدف.بدأ التدريب منذ الصباح الباكر على [MASK].;الرماية
everyday_situation general_knowledge;IndividualSports(running,swimming);وصل عمر إلى المنحدر الثلجي وهو يرتدي حذاءه الخاص والزلاجات.اشترى معدات جديدة وبدأ في ممارسة [MASK].;التزلج
everyday_situation;IndividualSports(running,swimming);ارتدى أحمد حذاءه الرياضي وخرج من المنزل.بدأ يومه ب [MASK].;الجري المشي
everyday_situation general_knowledge;IndividualSports(running,swimming);ارتدى خالد الزي الأبيض المخصص و ربط حزامه بإحكام قبل بدء التدريب.بدأ يتدرب على حركات جديدة في رياضة [MASK].;الجودو الكاراتيه التايكوندو
everyday_situation general_knowledge;IndividualSports(running,swimming);ذهب أحمد إلى الملعب لتحسين أدائه في مسابقات المضمار، كان يستعد لاجتياز الحواجز.كان جيدا في [MASK].;الوثب القفز
everyday_situation general_knowledge;IndividualSports(running,swimming);بدأ أحمد يرتدي القفازات الثقيلة ويتمرن على اللكمات في الحلبة.قرر أن يتخصص في رياضة [MASK].;الملاكمة
general_knowledge;TeamSports(soccer,basketball);أعلن الحكم عن خطأ عندما سقطت الكرة على الأرض.كانت هذه مشاركته الثانية في بطولة رياضة الكرة [MASK].;الطائرة
general_knowledge;TeamSports(soccer,basketball);حافظ يوسف على تنسيق الحركات والتوازن عند رمي الكرة لزملاءه، مع تجنب اسقاط الكرة.كانت قدرة يوسف على تسجيل الأهداف بوضوح تعكس تميزه في كرة [MASK].;اليد
everyday_situation general_knowledge;TeamSports(soccer,basketball);راقب الزملاء وهم يتعاونون في ضرب الكرة من وراء الشبكة، لكي لا تسقط على الارض.كان واضحًا أن التنسيق الجيد سيقودهم للفوز في الكرة [MASK].;الطائرة
everyday_situation general_knowledge;TeamSports(soccer,basketball);نظر إلى السلة وقرر أنه بحاجة إلى ادخال الكرة من مكان بعيد.كان يعرف أن الدقة مطلوبة في كرة [MASK].;السلة
general_knowledge;TeamSports(soccer,basketball);هي كرة قدم من نوع خاص حيث يتدافع اللاعبون.تشتهر في الغرب و تدعى بكرة القدم [MASK].;الأمريكية
everyday_situation general_knowledge;TeamSports(soccer,basketball);يجلس اللاعب على الأرض يلهث و ينظر حوله. ياتيه المدرب و يصب له [MASK].;الماء
everyday_situation general_knowledge;TeamSports(soccer,basketball);كانت المباراة تدور حول تبادل الكرة الصفراء بالمضرب.كان هاني يذهب كل يوم للتدرب في ملعب [MASK].;التنس
general_knowledge;TeamSports(soccer,basketball);فازت أنجيلا على ماري في مسابقة رفع الأثقال.لكن ذلك لم يكن عادلاً لان انجيلا كانت تتناول [MASK].;المنشطات مشروب الطاقة
everyday_situation general_knowledge;TeamSports(soccer,basketball);وفاء تمارس الكرة الطائرة في الملعب.هذا يساعدها على تحسين مهاراتها في [MASK].;الإرسال الاستقبال الصد التصويب
everyday_situation general_knowledge;TeamSports(soccer,basketball);لعبت طوال اليوم بكرة السلة.هذا كان ممتعًا جدًا مع [MASK].;الأصدقاء الفريق الرفقاء الرفاق الاخوة
everyday_situation general_knowledge;TeamSports(soccer,basketball);كان الشباب يجتمعون لحضور مباراة كرة القدم.ارتدى الجميع [MASK].;قمصان
everyday_situation general_knowledge;TeamSports(soccer,basketball);بدأ أحمد يتدرب على المراوغة والتسديد نحو المرمى باستخدام قدميه.حلمه أن يصبح محترفًا في لعبة كرة [MASK].;القدم
general_knowledge;TeamSports(soccer,basketball);بدأ أحمد يتدرب على التصويب من مسافات مختلفة نحو الحلقة باستخدام كرة برتقالية.أصبح مهووسًا بلعبة كرة [MASK].;السلة
everyday_situation general_knowledge;TeamSports(soccer,basketball);بدأت سارة تتمرن على الإرسال والضربات الهجومية فوق الشبكة باستخدام كرة خفيفة.أحبّت رياضة الكرة [MASK].;الطائرة
general_knowledge;TeamSports(soccer,basketball);بدأ الفريق يتدرب على التمريرات السريعة باليد والتسديد بقوة نحو المرمى باستخدام الكرة.كانو يتنافسون في بطولة كرة [MASK].;اليد
general_knowledge;TeamSports(soccer,basketball);بدأ أحمد يتدرب على رمياته باستخدام مضرب خشبي وكرة حمراء صغيرة.كان يحلم بأن يصبح لاعبًا محترفًا في [MASK].;الكريكيت
everyday_situation general_knowledge;TeamSports(soccer,basketball);اشترى أحمد خوذة ووسادات كتف جديدة استعدادًا للموسم القادم.كان متحمسًا للانضمام إلى فريق المدرسة في كرة القدم [MASK].;الامريكية
general_knowledge;TeamSports(soccer,basketball);اشترى أحمد عصا جديدة وقرر تجربتها في ملعب مغطى بالجليد.كان يحاول تسديد القرص نحو المرمى في ملعب [MASK].;الهوكي
everyday_situation general_knowledge;TeamSports(soccer,basketball);بدأ أحمد يتدرب على الإرسال والضربات الأرضية باستخدام كرة صفراء صغيرة.كان يلعب ضد الحائط لتحسين مهاراته في لعبة [MASK].;التنس
everyday_situation general_knowledge;TeamSports(soccer,basketball);ذهب أحمد إلى الملعب حاملاً مضربًا وقفازًا لاصطياد الكرات.كان ينتظر دوره لضرب الكرة في مباراة [MASK].;البيسبول
everyday_situation general_knowledge;Play and Recreational Activities (e.g., hide and seek, tag, playground games);إنهم يلعبون لعبة حجرة ورقة مقص.اخفق تيم بعد ان اظهر ورقة اما صديقه الذي اظهر [MASK].;مقصا
everyday_situation general_knowledge;IndividualSports(running,swimming);يمسك الصبي الصغير والرجل العجوز بحبلي القفز من كل جانب. تتقدم امنة و تبدا في [MASK].;القفز النط
everyday_situation general_knowledge;FarmingAnimals;لاحظت نورا أن حديقتها مليئة بالأعشاب الضارة. أحضرت أدواتها وبدأت في [MASK].;إزالتها قصها جزها
everyday_situation general_knowledge;HouseholdObjects;أرادت مريم تأثيث حديقتها بأثاث مقاوم للطقس. اختارت كراسي من [MASK].;البلاستيك
everyday_situation general_knowledge;ToolsandTechnology;كانت ليلى تنوي تزيين حديقتها بالنباتات. أحضرت أوعية من [MASK].;الطين البلاستيك الخزف
general_knowledge;Landscapes(forests,mountains);تقع فرنسا في قارة أوروبا.هذا يجعلها جزءًا من الاتحاد [MASK].;الاوروبي
general_knowledge;Landscapes(forests,mountains);أراد أحمد تجربة الهدوء المطلق حيث لا شيء سوى الكثبان الذهبية التي تمتد إلى الأفق.سافر للمرة الأولى في حياته إلى [MASK].;الصحراء
everyday_situation general_knowledge;Landscapes(forests,mountains);أحمد يحب تسلق المرتفعات الصخرية ليرى القرى من الأعلى.في عطلة نهاية الأسبوع خطط لصعود [MASK].;الجبل
general_knowledge;Landscapes(forests,mountains);كان الطريق يهبط تدريجيًا حتى وصلوا إلى مكان منخفض بين الجبال.هناك اكتشفوا نهرًا صغيرًا يمر عبر [MASK].;الوادي
everyday_situation general_knowledge;Landscapes(forests,mountains);أحب سامي سماع صوت الأمواج وشعور الرمال تحت قدميه.قرر قضاء يومه على [MASK].;الشاطئ
everyday_situation general_knowledge;Landscapes(forests,mountains);كانت الأمواج المتلاطمة تلامس الأفق البعيد حيث يلتقي اللونان الأزرقان.قرر قضاء يوم كامل في [MASK].;الشاطئ
general_knowledge;Landscapes(forests,mountains);كان مسار المياه العذبة يشق طريقه بين الصخور حاملاً الحياة إلى الأرض الجافة.مشينا قليلًا حتى وصلنا إلى ضفة [MASK].;النَهْر
everyday_situation general_knowledge;Landscapes(forests,mountains);كانت المساحات الخضراء الشاسعة تمتد أمام الأعين دون تلال أو مرتفعات تعيق الرؤية.جلسنا نستريح تحت الشمس في وسط [MASK].;السَهْل المرج الحقل
everyday_situation general_knowledge;Landscapes(forests,mountains);كانت المياه العذبة الهادئة محاطة بالأشجار من كل جانب وتعكس منظر الجبال البعيدة.استمتعنا بالتخييم بجانب [MASK].;البُحَيْرَة
general_knowledge;Landscapes(forests,mountains);كنا نرى اليابسة محاطة بالماء من كل الجهات.أخذنا قاربًا صغيرًا للوصول إلى [MASK].;الجَزِيرَة
general_knowledge;Landscapes(forests,mountains);كانت القمة الشاهقة تتحدى المتسلقين بصخورها الشديدة الانحدار وبرودتها القارسة.التقطو صور رائعة عند وصولهم الى قمة [MASK].;الجَبَل
everyday_situation general_knowledge;Landscapes(forests,mountains);وقفنا بحذر عند مرتفع يطل على البحر.طلب المرشد منا ألا نقترب من [MASK].;الحافة
everyday_situation general_knowledge;Landscapes(forests,mountains);قررت العائلة الذهاب في رحلة نهاية الأسبوع للاستمتاع بأمواج البحر.حزمنا المناشف والمعدات واتجهنا إلى [MASK].;الشاطئ
everyday_situation general_knowledge;Landscapes(forests,mountains);قرر الفريق تسلق الجبل رغم تحذيرات الدليل من صعوبة المسار.كان الطريق صعبًا جدًا بسبب تضاريسه [MASK].;الوَعْرة
general_knowledge problem_solving;Landscapes(forests,mountains);قرر أحمد القيام برحلة طويلة عبر الأراضي الجافة والقاحلة.كان عليه أن يحمل الكثير من الماء لعبور [MASK].;الصَحْرَاء
general_knowledge;Landscapes(forests,mountains);كانت الأرض المنخفضة بين الجبال مليئة بالأشجار المثمرة وينابيع المياه العذبة.كان المنظر خلابًا و نحن نسير عبر [MASK].;الوَادٍي
everyday_situation general_knowledge;Landscapes(forests,mountains);وصلنا إلى منطقة صخرية مرتفعة ومسطحة تشبه السهل ولكنها أعلى من الأرض المحيطة.جلسنا نستريح قليلًا على قمة [MASK].;الهَضْبَة
everyday_situation general_knowledge;Landscapes(forests,mountains);اكتشف المستكشفون تجويفًا كبيرًا داخل الجبل أثناء رحلتهم.قرروا إشعال مصابيحهم والدخول إلى [MASK].;الغَار المغارة
everyday_situation general_knowledge;HealthMaintenance(exercise,hygiene);لم يكن يرى جيدا لان نظارته مضببة.طلب من رفيقه ان يعييرة منديل ل [MASK].;مسحها تنظيفها
everyday_situation;Communication;إيلينا تتحدث ببطء شديد مع أنجيلا. واجهت أنجيلا صعوبة في [MASK].;فهمها الفهم سماعها
everyday_situation general_knowledge;Communication;قد يعتبرك الناس وقحًا إذا لم تقل من فضلك عندما تطلب شيئًا.تعتبر هذه العبارة جزءًا من [MASK].;الأدب الاداب اللباقة القواعد الاخلاق
everyday_situation general_knowledge;HelpingandCaring;رايان لا يذهب الى الحنات حتى عندما يدعوه اصدقاءه للذهاب.كان راين يتجنبها لانه يعاني من ادمان على [MASK].;كحول الكحول
everyday_situation general_knowledge;HelpingandCaring;كانت بسمة تساعد مسعودة في وضع مساحيق التجميل.كانت بسمة تشاهد الكثير من دروس [MASK].;الماكياج التجميل
general_knowledge;HelpingandCaring;أراد كايل سحق أحلام رايان في أن يصبح ممثلاً سينمائيًا على الرغم من ان كايل كان ممثل. كان رايان يشكل [MASK].;تهديدا منافسة
